file	plot	n1	n2	p11	p12	p22	b	ndiv	reps	tmax	mean_t_frac	max_t_frac	mean_sat_frac	max_sat_frac	points_with_any_saturation	points
initial_plane__N1_1200__N2_400__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_1200__N2_400__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	1200	400	0.9	0.02	0.9	1.06	8	3	25000	0.885761316872428	1.0	0.7695473251028806	1.0	73	81
initial_plane__N1_1200__N2_400__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_1200__N2_400__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	1200	400	0.9	0.03	0.9	1.1	8	3	25000	0.8306172839506171	1.0	0.6748971193415637	1.0	63	81
initial_plane__N1_1500__N2_300__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_1500__N2_300__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	1500	300	0.9	0.02	0.9	1.06	8	3	25000	0.8734156378600821	1.0	0.6995884773662551	1.0	74	81
initial_plane__N1_1500__N2_300__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_1500__N2_300__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	1500	300	0.9	0.03	0.9	1.1	8	3	25000	0.8100411522633745	1.0	0.6049382716049383	1.0	66	81
initial_plane__N1_200__N2_600__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_200__N2_600__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	200	600	0.9	0.02	0.9	1.06	8	3	25000	0.7830452674897119	1.0	0.51440329218107	1.0	64	81
initial_plane__N1_200__N2_600__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_200__N2_600__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	200	600	0.9	0.03	0.9	1.1	8	3	25000	0.748641975308642	1.0	0.4279835390946502	1.0	58	81
initial_plane__N1_300__N2_1500__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_300__N2_1500__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	300	1500	0.9	0.02	0.9	1.06	8	3	25000	0.8609053497942385	1.0	0.6995884773662552	1.0	69	81
initial_plane__N1_300__N2_1500__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_300__N2_1500__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	300	1500	0.9	0.03	0.9	1.1	8	3	25000	0.8148148148148148	1.0	0.5843621399176954	1.0	67	81
initial_plane__N1_400__N2_1200__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_400__N2_1200__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	400	1200	0.9	0.02	0.9	1.06	8	3	25000	0.8849382716049383	1.0	0.7901234567901234	1.0	74	81
initial_plane__N1_400__N2_1200__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_400__N2_1200__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	400	1200	0.9	0.03	0.9	1.1	8	3	25000	0.845761316872428	1.0	0.7160493827160493	1.0	66	81
initial_plane__N1_600__N2_200__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_600__N2_200__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	600	200	0.9	0.02	0.9	1.06	8	3	25000	0.7669135802469135	1.0	0.4897119341563786	1.0	63	81
initial_plane__N1_600__N2_200__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_600__N2_200__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	600	200	0.9	0.03	0.9	1.1	8	3	25000	0.7386008230452675	1.0	0.4238683127572016	1.0	59	81
