family	N1	N2	Ntot	rho	abs_log_rho	B	P12	P11	P22	k_mean	dmin_mean	dmin_sem	trelax_norm_mean	n	file
critical_asymmetry	1200	400	1600	3	1.098612288668	1.15	0.2	0.73	0.73	583.27	0.004386772977	0.000915421608	0.020637860082	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/critical_asymmetry/raw/initial_plane__N1_1200__N2_400__P11_0p73__P12_0p20__P22_0p73__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
critical_asymmetry	400	1200	1600	0.333333333333	1.098612288668	1.15	0.2	0.73	0.73	583.27	0.004330497257	0.000902807047	0.023004115226	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/critical_asymmetry/raw/initial_plane__N1_400__N2_1200__P11_0p73__P12_0p20__P22_0p73__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
highN_asymmetry	1200	400	1600	3	1.098612288668	1.06	0.02	0.9	0.9	719.1	0.02045074544	0.000761007579	0.738134430727	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_1200__N2_400__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt
highN_asymmetry	1200	400	1600	3	1.098612288668	1.1	0.03	0.9	0.9	719.1	0.009840405039	0.000423593806	0.692181069959	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_1200__N2_400__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt
highN_asymmetry	1500	300	1800	5	1.609437912434	1.06	0.02	0.9	0.9	809.1	0.034279971776	0.001460703428	0.727846364883	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_1500__N2_300__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt
highN_asymmetry	1500	300	1800	5	1.609437912434	1.1	0.03	0.9	0.9	809.1	0.011964135923	0.000609823226	0.675034293553	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_1500__N2_300__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt
highN_asymmetry	200	600	800	0.333333333333	1.098612288668	1.06	0.02	0.9	0.9	359.1	0.041898165515	0.001634688878	0.652537722908	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_200__N2_600__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt
highN_asymmetry	200	600	800	0.333333333333	1.098612288668	1.1	0.03	0.9	0.9	359.1	0.025695455081	0.001084569946	0.623868312757	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_200__N2_600__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt
highN_asymmetry	300	1500	1800	0.2	1.609437912434	1.06	0.02	0.9	0.9	809.1	0.045932110552	0.001967333972	0.717421124829	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_300__N2_1500__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt
highN_asymmetry	300	1500	1800	0.2	1.609437912434	1.1	0.03	0.9	0.9	809.1	0.017572760583	0.000831972424	0.679012345679	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_300__N2_1500__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt
highN_asymmetry	400	1200	1600	0.333333333333	1.098612288668	1.06	0.02	0.9	0.9	719.1	0.02182904314	0.000792435237	0.737448559671	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_400__N2_1200__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt
highN_asymmetry	400	1200	1600	0.333333333333	1.098612288668	1.1	0.03	0.9	0.9	719.1	0.008200838488	0.000365565198	0.704801097394	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_400__N2_1200__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt
highN_asymmetry	600	200	800	3	1.098612288668	1.06	0.02	0.9	0.9	359.1	0.037678539338	0.001527268	0.639094650206	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_600__N2_200__P11_0p9__P12_0p02__P22_0p9__B_1p06__R_0__E_m0p4__ndiv_8__reps_3.txt
highN_asymmetry	600	200	800	3	1.098612288668	1.1	0.03	0.9	0.9	359.1	0.027515947422	0.001074138686	0.615500685871	243	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/highN_asymmetry/raw/initial_plane__N1_600__N2_200__P11_0p9__P12_0p03__P22_0p9__B_1p10__R_0__E_m0p4__ndiv_8__reps_3.txt
lowN_asymmetry	100	200	300	0.5	0.69314718056	1.12	0.1	0.9	0.9	134.1	0.069583807931	0.001207398669	0.570098619329	845	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/lowN_asymmetry/raw/initial_plane__N1_100__N2_200__P11_0p9__P12_0p1__P22_0p9__B_1p12__R_0__E_m0p4__ndiv_12__reps_5.txt
lowN_asymmetry	120	160	280	0.75	0.287682072452	1.08	0.1	0.9	0.9	125.1	0.078135237204	0.00136146387	0.66090729783	845	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/lowN_asymmetry/raw/initial_plane__N1_120__N2_160__P11_0p9__P12_0p1__P22_0p9__B_1p08__R_0__E_m0p4__ndiv_12__reps_5.txt
lowN_asymmetry	120	160	280	0.75	0.287682072452	1.2	0.2	0.9	0.9	125.1	0.033175318047	0.000593158782	0.540512820513	845	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/lowN_asymmetry/raw/initial_plane__N1_120__N2_160__P11_0p9__P12_0p2__P22_0p9__B_1p20__R_0__E_m0p4__ndiv_12__reps_5.txt
lowN_asymmetry	20	20	40	1	0	1.15	0.2	0.9	0.9	17.1	0.000041301775	0.000041301775	0.211834319527	845	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/lowN_asymmetry/raw/initial_plane__N1_20__N2_20__P11_0p9__P12_0p2__P22_0p9__B_1p15__R_0__E_m0p4__ndiv_12__reps_5.txt
lowN_asymmetry	25	50	75	0.5	0.69314718056	1.12	0.1	0.9	0.9	32.85	0.213211244751	0.004631771858	0.451360946746	845	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/lowN_asymmetry/raw/initial_plane__N1_25__N2_50__P11_0p9__P12_0p1__P22_0p9__B_1p12__R_0__E_m0p4__ndiv_12__reps_5.txt
lowN_asymmetry	30	40	70	0.75	0.287682072452	1.08	0.1	0.9	0.9	30.6	0.168209168324	0.004415940147	0.485996055227	845	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/lowN_asymmetry/raw/initial_plane__N1_30__N2_40__P11_0p9__P12_0p1__P22_0p9__B_1p08__R_0__E_m0p4__ndiv_12__reps_5.txt
lowN_asymmetry	30	40	70	0.75	0.287682072452	1.2	0.2	0.9	0.9	30.6	0.106588737799	0.001639926476	0.475345167653	845	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/lowN_asymmetry/raw/initial_plane__N1_30__N2_40__P11_0p9__P12_0p2__P22_0p9__B_1p20__R_0__E_m0p4__ndiv_12__reps_5.txt
lowN_asymmetry	40	40	80	1	0	1.15	0.2	0.9	0.9	35.1	0.188316814596	0.002768949846	0.48899408284	845	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/lowN_asymmetry/raw/initial_plane__N1_40__N2_40__P11_0p9__P12_0p2__P22_0p9__B_1p15__R_0__E_m0p4__ndiv_12__reps_5.txt
lowN_asymmetry	50	100	150	0.5	0.69314718056	1.12	0.1	0.9	0.9	66.6	0.137684219925	0.00227404416	0.544142011834	845	C:/Users/rbndz/Movistar Cloud/Ruben/3_FISICA/2_Cuatrimestre/Caos_y_SDNL/guerra-mafias/c_paper/out/experiments/02_thermodynamic_limit_high_connectivity/finite_size_scaling/asymmetry/lowN_asymmetry/raw/initial_plane__N1_50__N2_100__P11_0p9__P12_0p1__P22_0p9__B_1p12__R_0__E_m0p4__ndiv_12__reps_5.txt
