index	N	P11	P12	P22	B	R	E	T_MAX	ndiv	reps	output
1	50	0.9	0.1	0.9	1.174	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_50__N2_50__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
2	50	0.9	0.1	0.9	1.3	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_50__N2_50__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
3	50	0.9	0.3	0.9	1.174	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_50__N2_50__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
4	50	0.9	0.3	0.9	1.3	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_50__N2_50__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
5	75	0.9	0.1	0.9	1.174	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_75__N2_75__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
6	75	0.9	0.1	0.9	1.3	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_75__N2_75__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
7	75	0.9	0.3	0.9	1.174	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_75__N2_75__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
8	75	0.9	0.3	0.9	1.3	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_75__N2_75__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
9	125	0.9	0.1	0.9	1.174	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_125__N2_125__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
10	125	0.9	0.1	0.9	1.3	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_125__N2_125__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
11	125	0.9	0.3	0.9	1.174	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_125__N2_125__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
12	125	0.9	0.3	0.9	1.3	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_125__N2_125__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
13	150	0.9	0.1	0.9	1.174	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_150__N2_150__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
14	150	0.9	0.1	0.9	1.3	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_150__N2_150__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
15	150	0.9	0.3	0.9	1.174	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_150__N2_150__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
16	150	0.9	0.3	0.9	1.3	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_150__N2_150__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
17	250	0.9	0.1	0.9	1.174	0	-0.4	30000	10	5	c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\finite_size_scaling\symmetric_N_scaling\raw\initial_plane__N1_250__N2_250__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__TMAX_30000__ndiv_10__reps_5.txt
