N1	N2	Ntot	invN	B	P12	P11	P22	dmin_mean	dmin_sem	trelax_mean	trelax_norm_mean	n
550	550	1100	.001818181818	1.174	0.1	0.9	0.9	.005351107822	.000158625755	22628.0991735537	.754269972452	605
500	500	1000	.002	1.174	0.1	0.9	0.9	.006065493363	.000186332168	22760.3305785123	.75867768595	605
450	450	900	.002222222222	1.174	0.1	0.9	0.9	.008176569427	.000233631712	22955.3719008264	.765179063361	605
400	400	800	.0025	1.174	0.1	0.9	0.9	.011014155712	.000291198684	22677.6859504132	.755922865014	605
350	350	700	.002857142857	1.174	0.1	0.9	0.9	.012877519533	.000329607203	22505.7851239669	.750192837466	605
300	300	600	.003333333333	1.174	0.1	0.9	0.9	.014539324245	.000372658714	22472.7272727272	.749090909091	605
250	250	500	.004	1.174	0.1	0.9	0.9	.020993756351	.000504761067	22760.3305785124	.75867768595	605
200	200	400	.005	1.174	0.1	0.9	0.9	.028169632679	.000619439618	22654.5454545454	.755151515152	605
150	150	300	.006666666667	1.174	0.1	0.9	0.9	.035140648406	.000767708959	22971.9008264462	.765730027548	605
125	125	250	.008	1.174	0.1	0.9	0.9	.043433171153	.000954092869	22568.5950413223	.752286501377	605
100	100	200	.01	1.174	0.1	0.9	0.9	.069636160265	.001418292592	22598.347107438	.753278236915	605
75	75	150	.013333333333	1.174	0.1	0.9	0.9	.072492505738	.00145502666	18340.4958677686	.611349862259	605
50	50	100	.02	1.174	0.1	0.9	0.9	.076122203477	.00178427194	14476.0330578512	.482534435262	605
550	550	1100	.001818181818	1.174	0.3	0.9	0.9	.018056667777	.000409284067	18320.6611570248	.610688705234	605
500	500	1000	.002	1.174	0.3	0.9	0.9	.014575125541	.000339403089	17454.5454545454	.581818181818	605
450	450	900	.002222222222	1.174	0.3	0.9	0.9	.009093555872	.000258656603	17943.8016528925	.598126721763	605
400	400	800	.0025	1.174	0.3	0.9	0.9	.006320539612	.000209195813	17404.9586776859	.580165289256	605
350	350	700	.002857142857	1.174	0.3	0.9	0.9	.007928108293	.000271838756	17480.9917355372	.582699724518	605
300	300	600	.003333333333	1.174	0.3	0.9	0.9	.006380333048	.000249606406	16806.6115702479	.560220385675	605
250	250	500	.004	1.174	0.3	0.9	0.9	.00822101385	.000295874662	16909.0909090909	.563636363636	605
200	200	400	.005	1.174	0.3	0.9	0.9	.010262907951	.000371913478	17074.3801652892	.56914600551	605
150	150	300	.006666666667	1.174	0.3	0.9	0.9	.042180182388	.000900662072	16442.9752066115	.548099173554	605
125	125	250	.008	1.174	0.3	0.9	0.9	.026222765688	.000689658634	16128.9256198347	.537630853994	605
100	100	200	.01	1.174	0.3	0.9	0.9	.081888793958	.001653657703	16958.6776859504	.565289256198	605
75	75	150	.013333333333	1.174	0.3	0.9	0.9	.081041945474	.001742775712	14816.5289256198	.493884297521	605
50	50	100	.02	1.174	0.3	0.9	0.9	.120741281277	.002472508444	16082.6446280991	.53608815427	605
550	550	1100	.001818181818	1.3	0.1	0.9	0.9	.00317251391	.00009344212	22102.4793388429	.736749311295	605
500	500	1000	.002	1.3	0.1	0.9	0.9	.003847162438	.0001114641	21831.4049586776	.727713498623	605
450	450	900	.002222222222	1.3	0.1	0.9	0.9	.004938659196	.000144261873	21986.7768595041	.732892561983	605
400	400	800	.0025	1.3	0.1	0.9	0.9	.006953478438	.000188102105	22409.9173553719	.746997245179	605
350	350	700	.002857142857	1.3	0.1	0.9	0.9	.008779322358	.000224688315	22195.041322314	.739834710744	605
300	300	600	.003333333333	1.3	0.1	0.9	0.9	.009278360907	.000243824113	22168.5950413223	.738953168044	605
