file	plot	n1	n2	p11	p12	p22	b	ndiv	reps	tmax	mean_t_frac	max_t_frac	mean_sat_frac	max_sat_frac	points_with_any_saturation	points
initial_plane__N1_500__N2_500__P11_0p77__P12_0p21__P22_0p77__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p77__P12_0p21__P22_0p77__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.77	0.21	0.77	1.15	8	3	400000	0.32862139917695476	0.9016666666666667	0.1111111111111111	0.6666666666666666	21	81
initial_plane__N1_500__N2_500__P11_0p78__P12_0p21__P22_0p78__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p78__P12_0p21__P22_0p78__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.78	0.21	0.78	1.15	8	3	400000	0.3748971193415638	0.9933333333333333	0.17695473251028804	0.6666666666666666	30	81
initial_plane__N1_500__N2_500__P11_0p79__P12_0p21__P22_0p79__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p79__P12_0p21__P22_0p79__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.79	0.21	0.79	1.15	8	3	400000	0.3556378600823045	1.0	0.1810699588477366	1.0	31	81
initial_plane__N1_500__N2_500__P11_0p79__P12_0p22__P22_0p79__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p79__P12_0p22__P22_0p79__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.79	0.22	0.79	1.15	8	3	400000	0.11006172839506172	0.3483333333333334	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p80__P12_0p21__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p80__P12_0p21__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.8	0.21	0.8	1.15	8	3	400000	0.3534979423868313	1.0	0.13580246913580246	1.0	26	81
initial_plane__N1_500__N2_500__P11_0p80__P12_0p22__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p80__P12_0p22__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.8	0.22	0.8	1.15	8	3	400000	0.20211934156378605	0.7266666666666667	0.020576131687242795	0.3333333333333333	5	81
initial_plane__N1_500__N2_500__P11_0p80__P12_0p23__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p80__P12_0p23__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.8	0.23	0.8	1.15	8	3	400000	0.07405349794238683	0.19666666666666668	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p82__P12_0p22__P22_0p82__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p82__P12_0p22__P22_0p82__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.82	0.22	0.82	1.15	8	3	400000	0.3156995884773663	0.995	0.11522633744855966	0.6666666666666666	22	81
initial_plane__N1_500__N2_500__P11_0p83__P12_0p23__P22_0p83__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p83__P12_0p23__P22_0p83__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.83	0.23	0.83	1.15	8	3	400000	0.11930041152263374	0.30833333333333335	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p84__P12_0p22__P22_0p84__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p84__P12_0p22__P22_0p84__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.84	0.22	0.84	1.15	8	3	400000	0.3295473251028807	1.0	0.1316872427983539	1.0	27	81
initial_plane__N1_500__N2_500__P11_0p86__P12_0p23__P22_0p86__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p86__P12_0p23__P22_0p86__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.86	0.23	0.86	1.15	8	3	400000	0.33895061728395065	0.9833333333333333	0.12345679012345678	0.6666666666666666	22	81
initial_plane__N1_500__N2_500__P11_0p90__P12_0p23__P22_0p90__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p90__P12_0p23__P22_0p90__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.9	0.23	0.9	1.15	8	3	400000	0.34253086419753087	0.87	0.16049382716049382	0.6666666666666666	31	81
