index	N1	N2	P11	P12	P22	B	R	E	ndiv	reps	output	plot
1	500	500	0.77	0.21	0.77	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p77__P12_0p21__P22_0p77__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p77__P12_0p21__P22_0p77__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
2	500	500	0.78	0.21	0.78	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p78__P12_0p21__P22_0p78__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p78__P12_0p21__P22_0p78__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
3	500	500	0.79	0.21	0.79	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p79__P12_0p21__P22_0p79__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p79__P12_0p21__P22_0p79__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
4	500	500	0.80	0.21	0.80	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p21__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p21__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
5	500	500	0.79	0.22	0.79	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p79__P12_0p22__P22_0p79__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p79__P12_0p22__P22_0p79__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
6	500	500	0.80	0.22	0.80	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p22__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p22__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
7	500	500	0.82	0.22	0.82	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p82__P12_0p22__P22_0p82__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p82__P12_0p22__P22_0p82__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
8	500	500	0.84	0.22	0.84	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p84__P12_0p22__P22_0p84__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p84__P12_0p22__P22_0p84__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
9	500	500	0.80	0.23	0.80	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p23__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p23__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
10	500	500	0.83	0.23	0.83	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p83__P12_0p23__P22_0p83__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p83__P12_0p23__P22_0p83__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
11	500	500	0.86	0.23	0.86	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p86__P12_0p23__P22_0p86__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p86__P12_0p23__P22_0p86__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
12	500	500	0.90	0.23	0.90	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p90__P12_0p23__P22_0p90__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p90__P12_0p23__P22_0p90__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
