file	plot	n1	n2	p11	p12	p22	b	ndiv	reps	tmax	mean_t_frac	max_t_frac	mean_sat_frac	max_sat_frac	points_with_any_saturation	points
initial_plane__N1_500__N2_500__P11_0p70__P12_0p21__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p70__P12_0p21__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.7	0.21	0.7	1.15	8	3	400000	0.07281893004115227	0.22666666666666668	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p70__P12_0p22__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p70__P12_0p22__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.7	0.22	0.7	1.15	8	3	400000	0.06934156378600824	0.22166666666666668	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p70__P12_0p23__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p70__P12_0p23__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.7	0.23	0.7	1.15	8	3	400000	0.07343621399176954	0.18	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p73__P12_0p21__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p73__P12_0p21__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.73	0.21	0.73	1.15	8	3	400000	0.07783950617283951	0.19666666666666668	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p73__P12_0p22__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p73__P12_0p22__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.73	0.22	0.73	1.15	8	3	400000	0.07203703703703704	0.2966666666666667	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p73__P12_0p23__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p73__P12_0p23__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.73	0.23	0.73	1.15	8	3	400000	0.06960905349794239	0.21166666666666667	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p76__P12_0p21__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p76__P12_0p21__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.76	0.21	0.76	1.15	8	3	400000	0.1591975308641975	0.49333333333333335	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p76__P12_0p22__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p76__P12_0p22__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.76	0.22	0.76	1.15	8	3	400000	0.07113168724279835	0.25	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p76__P12_0p23__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p76__P12_0p23__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.76	0.23	0.76	1.15	8	3	400000	0.07197530864197531	0.21166666666666667	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p80__P12_0p21__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p80__P12_0p21__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.8	0.21	0.8	1.15	8	3	400000	0.3534979423868313	1.0	0.13580246913580246	1.0	26	81
initial_plane__N1_500__N2_500__P11_0p80__P12_0p22__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p80__P12_0p22__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.8	0.22	0.8	1.15	8	3	400000	0.20211934156378605	0.7266666666666667	0.020576131687242795	0.3333333333333333	5	81
initial_plane__N1_500__N2_500__P11_0p80__P12_0p23__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p80__P12_0p23__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.8	0.23	0.8	1.15	8	3	400000	0.07405349794238683	0.19666666666666668	0.0	0.0	0	81
