index	N1	N2	P11	P12	P22	B	R	E	ndiv	reps	output	plot
1	500	500	0.70	0.21	0.70	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p70__P12_0p21__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p70__P12_0p21__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
2	500	500	0.73	0.21	0.73	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p73__P12_0p21__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p73__P12_0p21__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
3	500	500	0.76	0.21	0.76	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p76__P12_0p21__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p76__P12_0p21__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
4	500	500	0.80	0.21	0.80	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p21__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p21__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
5	500	500	0.70	0.22	0.70	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p70__P12_0p22__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p70__P12_0p22__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
6	500	500	0.73	0.22	0.73	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p73__P12_0p22__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p73__P12_0p22__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
7	500	500	0.76	0.22	0.76	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p76__P12_0p22__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p76__P12_0p22__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
8	500	500	0.80	0.22	0.80	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p22__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p22__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
9	500	500	0.70	0.23	0.70	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p70__P12_0p23__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p70__P12_0p23__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
10	500	500	0.73	0.23	0.73	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p73__P12_0p23__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p73__P12_0p23__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
11	500	500	0.76	0.23	0.76	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p76__P12_0p23__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p76__P12_0p23__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
12	500	500	0.80	0.23	0.80	1.15	0	-0.4	8	3	c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p23__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p23__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png
