p11	P12	dist_E_mean	dist_E_sem	trelax_norm_mean	trelax_norm_sem	sat_frac	reps	TMAX	samples	source
0.73	0.05	0.226341692814	0.023103763836	0.335411522634	0.0233496010922	0.144032921811	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p12_scan\raw\initial_plane__N1_500__N2_500__P11_0p73__P12_0p05__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.73	0.1	0.245426708156	0.0206142360206	0.287160493827	0.0215159184593	0.0987654320988	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p12_scan\raw\initial_plane__N1_500__N2_500__P11_0p73__P12_0p10__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.73	0.15	0.263017681101	0.0193773892558	0.297366255144	0.0219475349357	0.0905349794239	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p12_scan\raw\initial_plane__N1_500__N2_500__P11_0p73__P12_0p15__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.65	0.16	0.29628435595	0.0184841509045	0.333271604938	0.0227745016473	0.0864197530864	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_grid\raw\initial_plane__N1_500__N2_500__P11_0p65__P12_0p16__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.7	0.16	0.276895633358	0.0189817010436	0.295061728395	0.021239310006	0.0905349794239	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_grid\raw\initial_plane__N1_500__N2_500__P11_0p70__P12_0p16__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.73	0.16	0.267935372903	0.0192043320972	0.268127572016	0.0197646996812	0.0452674897119	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_grid\raw\initial_plane__N1_500__N2_500__P11_0p73__P12_0p16__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.76	0.16	0.257617502638	0.0195127573796	0.290041152263	0.0211041220482	0.0699588477366	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_grid\raw\initial_plane__N1_500__N2_500__P11_0p76__P12_0p16__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.8	0.16	0.249495780515	0.0197080886549	0.288765432099	0.0212942252741	0.0987654320988	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_grid\raw\initial_plane__N1_500__N2_500__P11_0p80__P12_0p16__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.02	0.2	0.755653185469	0.00278772056877	0.0164403292181	0.000385647975506	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p02__P12_0p20__P22_0p02__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.05	0.2	0.756205346422	0.00278831241515	0.0147530864198	6.96390215824E-05	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p05__P12_0p20__P22_0p05__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.1	0.2	0.756205346422	0.00278831241515	0.0147530864198	6.96390215824E-05	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p10__P12_0p20__P22_0p10__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.2	0.2	0.756205346422	0.00278831241515	0.0147530864198	6.96390215824E-05	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p20__P12_0p20__P22_0p20__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.3	0.2	0.756097604913	0.00278849882372	0.0166872427984	0.000264311816223	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p30__P12_0p20__P22_0p30__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
