p11	P12	B	R	Epay	N1	N2	ndiv	reps	TMAX	xE	yE	dist_E_mean	dist_E_sem	trelax_norm_mean	trelax_norm_sem	sat_frac	x1_mean	x2_mean	samples	source
0.02	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.755653185469	0.00278772056877	0.0164403292181	0.000385647975506	0	0.477672691358	0.522618041152	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p02__P12_0p20__P22_0p02__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.05	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.756205346422	0.00278831241515	0.0147530864198	6.96390215824E-05	0	0.506172839506	0.493827160494	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p05__P12_0p20__P22_0p05__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.1	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.756205346422	0.00278831241515	0.0147530864198	6.96390215824E-05	0	0.510288065844	0.489711934156	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p10__P12_0p20__P22_0p10__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.2	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.756205346422	0.00278831241515	0.0147530864198	6.96390215824E-05	0	0.497942386831	0.502057613169	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p20__P12_0p20__P22_0p20__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.3	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.756097604913	0.00278849882372	0.0166872427984	0.000264311816223	0	0.497839753086	0.502042238683	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p30__P12_0p20__P22_0p30__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.4	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.750492532526	0.00283404438474	0.0296502057613	0.00114360035774	0	0.518602683128	0.475128024691	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p40__P12_0p20__P22_0p40__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.5	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.72050542486	0.00364504476283	0.038950617284	0.00131592817535	0	0.478670567901	0.481809111111	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p50__P12_0p20__P22_0p50__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.55	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.695945207995	0.00416420946961	0.0434362139918	0.0013475214488	0	0.457524584362	0.475459860082	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p55__P12_0p20__P22_0p55__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.6	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.633182220598	0.00505411362894	0.0434465020576	0.00135194076964	0	0.437278312757	0.424233555556	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p60__P12_0p20__P22_0p60__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.65	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.589363960576	0.00627618888915	0.0428497942387	0.00131617277587	0	0.414380049383	0.395099481481	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\02_thermodynamic_limit_high_connectivity\connectivity_threshold\raw\initial_plane__N1_500__N2_500__P11_0p65__P12_0p20__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.7	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.553685728428	0.00741976491578	0.075658436214	0.00404533505964	0	0.39714800823	0.369686600823	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-06_relaxation_critical_TMAX400k_p_fine\raw\initial_plane__N1_500__N2_500__P11_0p70__P12_0p20__P22_0p70__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
0.715	0.2	1.15	0	-0.4	500	500	8	3	400000	0.308	0.308	0.531943302607	0.00915722608023	0.100843621399	0.00574782394898	0	0.472817053498	0.281736864198	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\relaxation_time\p_fine\2026-05-06_relaxation_critical_TMAX400k_p_fine\raw\initial_plane__N1_500__N2_500__P11_0p715__P12_0p20__P22_0p715__B_1p15__R_0__E_m0p4__TMAX_400000__ndiv_8__reps_3.txt
