index	family	exe	alpha	p12	x01	x02	bmin	bmax	reps	seed	output	log
1	paper_p	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\build\sweep_stats_fig4_degree_alpha_1_N1000_N100.exe	1	0	0.5	0	1	4	30	810000	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\raw\fig4_degree_paper_p_alpha_1_p12_0.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\logs\fig4_degree_paper_p_alpha_1_p12_0.log
2	paper_p	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\build\sweep_stats_fig4_degree_alpha_1_N1000_N100.exe	1	0.001	0.5	0	1	4	30	810001	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\raw\fig4_degree_paper_p_alpha_1_p12_0p001.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\logs\fig4_degree_paper_p_alpha_1_p12_0p001.log
3	paper_p	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\build\sweep_stats_fig4_degree_alpha_1_N1000_N100.exe	1	0.002	0.5	0	1	4	30	810002	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\raw\fig4_degree_paper_p_alpha_1_p12_0p002.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\logs\fig4_degree_paper_p_alpha_1_p12_0p002.log
4	paper_p	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\build\sweep_stats_fig4_degree_alpha_1_N1000_N100.exe	1	0.005	0.5	0	1	4	30	810003	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\raw\fig4_degree_paper_p_alpha_1_p12_0p005.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\logs\fig4_degree_paper_p_alpha_1_p12_0p005.log
5	paper_p	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\build\sweep_stats_fig4_degree_alpha_1_N1000_N100.exe	1	0.01	0.5	0	1	4	30	810004	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\raw\fig4_degree_paper_p_alpha_1_p12_0p01.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\logs\fig4_degree_paper_p_alpha_1_p12_0p01.log
6	paper_p	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\build\sweep_stats_fig4_degree_alpha_1_N1000_N100.exe	1	0.02	0.5	0	1	4	30	810005	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\raw\fig4_degree_paper_p_alpha_1_p12_0p02.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\logs\fig4_degree_paper_p_alpha_1_p12_0p02.log
7	paper_p	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\build\sweep_stats_fig4_degree_alpha_1_N1000_N100.exe	1	0.04	0.5	0	1	4	30	810006	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\raw\fig4_degree_paper_p_alpha_1_p12_0p04.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\logs\fig4_degree_paper_p_alpha_1_p12_0p04.log
8	alpha_sweep_p0p1	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\build\sweep_stats_fig4_degree_alpha_1_N1000_N100.exe	1	0.1	0.5	0	1	4	30	820000	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\raw\fig4_degree_alpha_sweep_p0p1_alpha_1_p12_0p1.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\logs\fig4_degree_alpha_sweep_p0p1_alpha_1_p12_0p1.log
9	alpha_sweep_p0p1	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\build\sweep_stats_fig4_degree_alpha_2_N1000_N100.exe	2	0.1	0.5	0	1	4	30	820001	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\raw\fig4_degree_alpha_sweep_p0p1_alpha_2_p12_0p1.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\logs\fig4_degree_alpha_sweep_p0p1_alpha_2_p12_0p1.log
10	alpha_sweep_p0p1	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\build\sweep_stats_fig4_degree_alpha_5_N1000_N100.exe	5	0.1	0.5	0	1	4	30	820002	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\raw\fig4_degree_alpha_sweep_p0p1_alpha_5_p12_0p1.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\fig4_degree_linear_alpha1_and_alpha_sweep_2026-05-10\logs\fig4_degree_alpha_sweep_p0p1_alpha_5_p12_0p1.log
