time	message
2026-05-07T23:31:05	starting fig4 fermi sweep; beta=1; independence=graph_per_b_rep
2026-05-07T23:31:06	started 1/7 fig4_fermi p12=0 pid=31360
2026-05-07T23:31:06	started 2/7 fig4_fermi p12=0.001 pid=6956
2026-05-07T23:31:06	started 3/7 fig4_fermi p12=0.002 pid=25960
2026-05-08T09:20:40	finished 1/7 fig4_fermi p12=0 exit=
2026-05-08T09:20:40	started 4/7 fig4_fermi p12=0.005 pid=39576
2026-05-08T10:39:42	finished 2/7 fig4_fermi p12=0.001 exit=
2026-05-08T10:39:42	started 5/7 fig4_fermi p12=0.01 pid=7876
2026-05-08T11:27:04	finished 3/7 fig4_fermi p12=0.002 exit=
2026-05-08T11:27:04	started 6/7 fig4_fermi p12=0.02 pid=20592
2026-05-08T22:18:44	finished 4/7 fig4_fermi p12=0.005 exit=
2026-05-08T22:18:44	started 7/7 fig4_fermi p12=0.04 pid=31972
2026-05-08T23:52:26	finished 5/7 fig4_fermi p12=0.01 exit=
2026-05-09T01:53:49	finished 6/7 fig4_fermi p12=0.02 exit=
2026-05-09T13:26:47	finished 7/7 fig4_fermi p12=0.04 exit=
2026-05-09T13:26:47	queue completed
