file	plot	n1	n2	p11	p12	p22	b	ndiv	reps	tmax	mean_t_frac	max_t_frac	mean_sat_frac	max_sat_frac	points_with_any_saturation	points
initial_plane__N1_500__N2_500__P11_0p02__P12_0p20__P22_0p02__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p02__P12_0p20__P22_0p02__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.02	0.2	0.02	1.15	8	3	25000	0.26304526748971196	0.48	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p05__P12_0p20__P22_0p05__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p05__P12_0p20__P22_0p05__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.05	0.2	0.05	1.15	8	3	25000	0.2360493827160494	0.24	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p10__P12_0p20__P22_0p10__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p10__P12_0p20__P22_0p10__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.1	0.2	0.1	1.15	8	3	25000	0.2360493827160494	0.24	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p20__P12_0p20__P22_0p20__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p20__P12_0p20__P22_0p20__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.2	0.2	0.2	1.15	8	3	25000	0.2360493827160494	0.24	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p30__P12_0p20__P22_0p30__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p30__P12_0p20__P22_0p30__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.3	0.2	0.3	1.15	8	3	25000	0.2669958847736626	0.4	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p40__P12_0p20__P22_0p40__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p40__P12_0p20__P22_0p40__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.4	0.2	0.4	1.15	8	3	25000	0.4744032921810699	1.0	0.15637860082304528	1.0	28	81
initial_plane__N1_500__N2_500__P11_0p50__P12_0p20__P22_0p50__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p50__P12_0p20__P22_0p50__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.5	0.2	0.5	1.15	8	3	25000	0.6232098765432099	1.0	0.3127572016460905	1.0	52	81
initial_plane__N1_500__N2_500__P11_0p55__P12_0p20__P22_0p55__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p55__P12_0p20__P22_0p55__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.55	0.2	0.55	1.15	8	3	25000	0.6949794238683127	1.0	0.4444444444444444	1.0	58	81
initial_plane__N1_500__N2_500__P11_0p60__P12_0p20__P22_0p60__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p60__P12_0p20__P22_0p60__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.6	0.2	0.6	1.15	8	3	25000	0.6951440329218108	1.0	0.4732510288065843	1.0	61	81
initial_plane__N1_500__N2_500__P11_0p65__P12_0p20__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p65__P12_0p20__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.65	0.2	0.65	1.15	8	3	25000	0.68559670781893	1.0	0.4074074074074074	1.0	59	81
