"index"	"N1"	"N2"	"P11"	"P12"	"P22"	"B"	"R"	"E"	"ndiv"	"reps"	"output"	"plot"
"1"	"500"	"500"	"0.02"	"0.20"	"0.02"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p02__P12_0p20__P22_0p02__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p02__P12_0p20__P22_0p02__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"2"	"500"	"500"	"0.05"	"0.20"	"0.05"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p05__P12_0p20__P22_0p05__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p05__P12_0p20__P22_0p05__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"3"	"500"	"500"	"0.10"	"0.20"	"0.10"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p10__P12_0p20__P22_0p10__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p10__P12_0p20__P22_0p10__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"4"	"500"	"500"	"0.20"	"0.20"	"0.20"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p20__P12_0p20__P22_0p20__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p20__P12_0p20__P22_0p20__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"1"	"500"	"500"	"0.30"	"0.20"	"0.30"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p30__P12_0p20__P22_0p30__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p30__P12_0p20__P22_0p30__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"2"	"500"	"500"	"0.40"	"0.20"	"0.40"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p40__P12_0p20__P22_0p40__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p40__P12_0p20__P22_0p40__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"5"	"500"	"500"	"0.50"	"0.20"	"0.50"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p50__P12_0p20__P22_0p50__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p50__P12_0p20__P22_0p50__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"1"	"500"	"500"	"0.55"	"0.20"	"0.55"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p55__P12_0p20__P22_0p55__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p55__P12_0p20__P22_0p55__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"2"	"500"	"500"	"0.60"	"0.20"	"0.60"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p60__P12_0p20__P22_0p60__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p60__P12_0p20__P22_0p60__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"3"	"500"	"500"	"0.65"	"0.20"	"0.65"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p65__P12_0p20__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p65__P12_0p20__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"4"	"500"	"500"	"0.70"	"0.20"	"0.70"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p70__P12_0p20__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p70__P12_0p20__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"3"	"500"	"500"	"0.715"	"0.20"	"0.715"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p715__P12_0p20__P22_0p715__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p715__P12_0p20__P22_0p715__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"4"	"500"	"500"	"0.73"	"0.20"	"0.73"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p73__P12_0p20__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p73__P12_0p20__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"5"	"500"	"500"	"0.75"	"0.20"	"0.75"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p75__P12_0p20__P22_0p75__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p75__P12_0p20__P22_0p75__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"6"	"500"	"500"	"0.80"	"0.20"	"0.80"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p20__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p80__P12_0p20__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
"7"	"500"	"500"	"0.85"	"0.20"	"0.85"	"1.15"	"0"	"-0.4"	"8"	"3"	"c_paper/out/raw/initial_plane/initial_plane__N1_500__N2_500__P11_0p85__P12_0p20__P22_0p85__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt"	"c_paper/out/plots/initial_plane/initial_plane__N1_500__N2_500__P11_0p85__P12_0p20__P22_0p85__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.png"
