index	N1	N2	P11	P12	P22	B	R	E	ndiv	reps	output	plot
1	20	20	0.9	0.2	0.9	1.15	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_20__N2_20__P11_0p9__P12_0p2__P22_0p9__B_1p15__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_20__N2_20__P11_0p9__P12_0p2__P22_0p9__B_1p15__R_0__E_m0p4__ndiv_12__reps_5.png
2	40	40	0.9	0.2	0.9	1.15	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_40__N2_40__P11_0p9__P12_0p2__P22_0p9__B_1p15__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_40__N2_40__P11_0p9__P12_0p2__P22_0p9__B_1p15__R_0__E_m0p4__ndiv_12__reps_5.png
3	80	80	0.9	0.2	0.9	1.15	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_80__N2_80__P11_0p9__P12_0p2__P22_0p9__B_1p15__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_80__N2_80__P11_0p9__P12_0p2__P22_0p9__B_1p15__R_0__E_m0p4__ndiv_12__reps_5.png
4	30	40	0.9	0.1	0.9	1.08	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_30__N2_40__P11_0p9__P12_0p1__P22_0p9__B_1p08__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_30__N2_40__P11_0p9__P12_0p1__P22_0p9__B_1p08__R_0__E_m0p4__ndiv_12__reps_5.png
5	60	80	0.9	0.1	0.9	1.08	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_60__N2_80__P11_0p9__P12_0p1__P22_0p9__B_1p08__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_60__N2_80__P11_0p9__P12_0p1__P22_0p9__B_1p08__R_0__E_m0p4__ndiv_12__reps_5.png
6	120	160	0.9	0.1	0.9	1.08	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_120__N2_160__P11_0p9__P12_0p1__P22_0p9__B_1p08__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_120__N2_160__P11_0p9__P12_0p1__P22_0p9__B_1p08__R_0__E_m0p4__ndiv_12__reps_5.png
7	30	40	0.9	0.2	0.9	1.20	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_30__N2_40__P11_0p9__P12_0p2__P22_0p9__B_1p20__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_30__N2_40__P11_0p9__P12_0p2__P22_0p9__B_1p20__R_0__E_m0p4__ndiv_12__reps_5.png
8	60	80	0.9	0.2	0.9	1.20	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_60__N2_80__P11_0p9__P12_0p2__P22_0p9__B_1p20__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_60__N2_80__P11_0p9__P12_0p2__P22_0p9__B_1p20__R_0__E_m0p4__ndiv_12__reps_5.png
9	120	160	0.9	0.2	0.9	1.20	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_120__N2_160__P11_0p9__P12_0p2__P22_0p9__B_1p20__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_120__N2_160__P11_0p9__P12_0p2__P22_0p9__B_1p20__R_0__E_m0p4__ndiv_12__reps_5.png
10	25	50	0.9	0.1	0.9	1.12	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_25__N2_50__P11_0p9__P12_0p1__P22_0p9__B_1p12__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_25__N2_50__P11_0p9__P12_0p1__P22_0p9__B_1p12__R_0__E_m0p4__ndiv_12__reps_5.png
11	50	100	0.9	0.1	0.9	1.12	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_50__N2_100__P11_0p9__P12_0p1__P22_0p9__B_1p12__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_50__N2_100__P11_0p9__P12_0p1__P22_0p9__B_1p12__R_0__E_m0p4__ndiv_12__reps_5.png
12	100	200	0.9	0.1	0.9	1.12	0	-0.4	12	5	c_paper/out/raw/initial_plane/initial_plane__N1_100__N2_200__P11_0p9__P12_0p1__P22_0p9__B_1p12__R_0__E_m0p4__ndiv_12__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_100__N2_200__P11_0p9__P12_0p1__P22_0p9__B_1p12__R_0__E_m0p4__ndiv_12__reps_5.png
