file	plot	n1	n2	p11	p12	p22	b	ndiv	reps	tmax	mean_t_frac	max_t_frac	mean_sat_frac	max_sat_frac	points_with_any_saturation	points
initial_plane__N1_100__N2_100__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_100__N2_100__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	100	100	0.9	0.1	0.9	1.174	10	5	30000	0.7532782369146005	1.0	0.6099173553719008	1.0	92	121
initial_plane__N1_100__N2_100__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_100__N2_100__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	100	100	0.9	0.1	0.9	1.3	10	5	30000	0.7114049586776859	1.0	0.509090909090909	1.0	92	121
initial_plane__N1_100__N2_100__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_100__N2_100__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	100	100	0.9	0.3	0.9	1.174	10	5	30000	0.5652892561983471	0.9066666666666666	0.21487603305785127	0.6	78	121
initial_plane__N1_100__N2_100__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_100__N2_100__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	100	100	0.9	0.3	0.9	1.3	10	5	30000	0.6930027548209367	1.0	0.512396694214876	1.0	90	121
initial_plane__N1_200__N2_200__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_200__N2_200__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	200	200	0.9	0.1	0.9	1.174	10	5	30000	0.755151515151515	1.0	0.6099173553719008	1.0	92	121
initial_plane__N1_200__N2_200__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_200__N2_200__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	200	200	0.9	0.1	0.9	1.3	10	5	30000	0.7486501377410467	1.0	0.6115702479338843	1.0	89	121
initial_plane__N1_200__N2_200__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_200__N2_200__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	200	200	0.9	0.3	0.9	1.174	10	5	30000	0.5691460055096418	0.9733333333333334	0.2181818181818182	0.8	77	121
initial_plane__N1_200__N2_200__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_200__N2_200__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	200	200	0.9	0.3	0.9	1.3	10	5	30000	0.7208815426997246	1.0	0.5768595041322314	1.0	88	121
initial_plane__N1_400__N2_400__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_400__N2_400__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	400	400	0.9	0.1	0.9	1.174	10	5	30000	0.7559228650137741	1.0	0.6132231404958677	1.0	96	121
initial_plane__N1_400__N2_400__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_400__N2_400__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	400	400	0.9	0.1	0.9	1.3	10	5	30000	0.7469972451790633	1.0	0.6049586776859504	1.0	95	121
initial_plane__N1_400__N2_400__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_400__N2_400__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	400	400	0.9	0.3	0.9	1.174	10	5	30000	0.5801652892561984	0.9333333333333333	0.22644628099173558	0.8	80	121
initial_plane__N1_400__N2_400__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	N1_400__N2_400__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5__time_diagnostic.png	400	400	0.9	0.3	0.9	1.3	10	5	30000	0.7278236914600552	1.0	0.5702479338842975	1.0	89	121
