index	N1	N2	P11	P12	P22	B	R	E	ndiv	reps	output	plot
1	100	100	0.9	0.1	0.9	1.174	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_100__N2_100__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_100__N2_100__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.png
2	100	100	0.9	0.1	0.9	1.3	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_100__N2_100__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_100__N2_100__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.png
3	100	100	0.9	0.3	0.9	1.174	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_100__N2_100__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_100__N2_100__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.png
4	100	100	0.9	0.3	0.9	1.3	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_100__N2_100__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_100__N2_100__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.png
5	200	200	0.9	0.1	0.9	1.174	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_200__N2_200__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_200__N2_200__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.png
6	200	200	0.9	0.1	0.9	1.3	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_200__N2_200__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_200__N2_200__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.png
7	200	200	0.9	0.3	0.9	1.174	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_200__N2_200__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_200__N2_200__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.png
8	200	200	0.9	0.3	0.9	1.3	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_200__N2_200__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_200__N2_200__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.png
9	400	400	0.9	0.1	0.9	1.174	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_400__N2_400__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_400__N2_400__P11_0p9__P12_0p1__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.png
10	400	400	0.9	0.1	0.9	1.3	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_400__N2_400__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_400__N2_400__P11_0p9__P12_0p1__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.png
11	400	400	0.9	0.3	0.9	1.174	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_400__N2_400__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_400__N2_400__P11_0p9__P12_0p3__P22_0p9__B_1p174__R_0__E_m0p4__ndiv_10__reps_5.png
12	400	400	0.9	0.3	0.9	1.3	0	-0.4	10	5	c_paper/out/raw/initial_plane/initial_plane__N1_400__N2_400__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.txt	c_paper/out/plots/initial_plane/initial_plane__N1_400__N2_400__P11_0p9__P12_0p3__P22_0p9__B_1p3__R_0__E_m0p4__ndiv_10__reps_5.png
