time	message
2026-05-11T00:17:07	starting fig3 degree sweep; alpha=1; clamp=[0.333333333333333,3]; independence=graph_per_b_rep
2026-05-11T00:17:08	started 1/7 fig3_degree p12=0 pid=30084
2026-05-11T00:17:08	started 2/7 fig3_degree p12=0.001 pid=32456
2026-05-11T00:17:08	started 3/7 fig3_degree p12=0.002 pid=14640
2026-05-11T10:43:37	finished 1/7 fig3_degree p12=0 exit=
2026-05-11T10:43:37	finished 2/7 fig3_degree p12=0.001 exit=
2026-05-11T10:43:37	finished 3/7 fig3_degree p12=0.002 exit=
2026-05-11T10:43:37	started 4/7 fig3_degree p12=0.005 pid=19104
2026-05-11T10:43:37	started 5/7 fig3_degree p12=0.01 pid=45396
2026-05-11T10:43:37	started 6/7 fig3_degree p12=0.02 pid=10828
