index	family	p12	x01	x02	bmin	bmax	reps	seed	pid	output	log
1	fig3_paper	0	0.5	0.5	1	3	30	120000	1764	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\raw\fig3_paper_p12_0.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\logs\fig3_paper_p12_0.log
2	fig3_paper	0.001	0.5	0.5	1	3	30	120001	4464	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\raw\fig3_paper_p12_0p001.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\logs\fig3_paper_p12_0p001.log
3	fig3_paper	0.002	0.5	0.5	1	3	30	120002	3080	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\raw\fig3_paper_p12_0p002.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\logs\fig3_paper_p12_0p002.log
4	fig3_paper	0.005	0.5	0.5	1	3	30	120003	16624	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\raw\fig3_paper_p12_0p005.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\logs\fig3_paper_p12_0p005.log
5	fig3_paper	0.01	0.5	0.5	1	3	30	120004	2508	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\raw\fig3_paper_p12_0p01.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\logs\fig3_paper_p12_0p01.log
6	fig3_paper	0.02	0.5	0.5	1	3	30	120005	7240	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\raw\fig3_paper_p12_0p02.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\logs\fig3_paper_p12_0p02.log
7	fig3_paper	0.04	0.5	0.5	1	3	30	120006	3936	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\raw\fig3_paper_p12_0p04.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\logs\fig3_paper_p12_0p04.log
8	fig4_paper	0	0.5	0	1	4	30	220007	21664	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\raw\fig4_paper_p12_0.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\logs\fig4_paper_p12_0.log
9	fig4_paper	0.001	0.5	0	1	4	30	220008	9700	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\raw\fig4_paper_p12_0p001.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\logs\fig4_paper_p12_0p001.log
10	fig4_paper	0.002	0.5	0	1	4	30	220009	15388	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\raw\fig4_paper_p12_0p002.tsv	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\sweep_b_2026-05-04_escalated_parallel_independent\logs\fig4_paper_p12_0p002.log
