time	message
2026-05-07T23:25:41	starting fig4 fermi sweep; beta=5; independence=graph_per_b_rep
2026-05-07T23:25:42	started 1/7 fig4_fermi p12=0 pid=35256
2026-05-07T23:25:42	started 2/7 fig4_fermi p12=0.001 pid=22952
2026-05-07T23:25:42	started 3/7 fig4_fermi p12=0.002 pid=4460
2026-05-08T09:19:16	finished 1/7 fig4_fermi p12=0 exit=
2026-05-08T09:19:16	started 4/7 fig4_fermi p12=0.005 pid=36000
2026-05-08T10:35:38	finished 2/7 fig4_fermi p12=0.001 exit=
2026-05-08T10:35:38	started 5/7 fig4_fermi p12=0.01 pid=16024
2026-05-08T11:22:39	finished 3/7 fig4_fermi p12=0.002 exit=
2026-05-08T11:22:39	started 6/7 fig4_fermi p12=0.02 pid=12924
2026-05-08T22:21:59	finished 4/7 fig4_fermi p12=0.005 exit=
2026-05-08T22:21:59	started 7/7 fig4_fermi p12=0.04 pid=27528
2026-05-09T00:05:42	finished 5/7 fig4_fermi p12=0.01 exit=
2026-05-09T02:00:24	finished 6/7 fig4_fermi p12=0.02 exit=
2026-05-09T12:56:00	finished 7/7 fig4_fermi p12=0.04 exit=
2026-05-09T12:56:00	queue completed
