file	plot	n1	n2	p11	p12	p22	b	ndiv	reps	tmax	mean_t_frac	max_t_frac	mean_sat_frac	max_sat_frac	points_with_any_saturation	points
initial_plane__N1_500__N2_500__P11_0p65__P12_0p16__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p65__P12_0p16__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.65	0.16	0.65	1.15	8	3	400000	0.3332716049382716	1.0	0.08641975308641975	1.0	17	81
initial_plane__N1_500__N2_500__P11_0p65__P12_0p20__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p65__P12_0p20__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.65	0.2	0.65	1.15	8	3	400000	0.07442386831275721	0.22166666666666668	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p65__P12_0p24__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p65__P12_0p24__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.65	0.24	0.65	1.15	8	3	400000	0.06858024691358024	0.20833333333333331	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p70__P12_0p16__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p70__P12_0p16__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.7	0.16	0.7	1.15	8	3	400000	0.29506172839506173	0.88	0.0905349794238683	0.6666666666666666	19	81
initial_plane__N1_500__N2_500__P11_0p70__P12_0p20__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p70__P12_0p20__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.7	0.2	0.7	1.15	8	3	400000	0.07565843621399178	0.22	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p70__P12_0p24__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p70__P12_0p24__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.7	0.24	0.7	1.15	8	3	400000	0.06860082304526749	0.2816666666666667	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p73__P12_0p16__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p73__P12_0p16__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.73	0.16	0.73	1.15	8	3	400000	0.268127572016461	0.965	0.04526748971193415	0.3333333333333333	11	81
initial_plane__N1_500__N2_500__P11_0p73__P12_0p20__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p73__P12_0p20__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.73	0.2	0.73	1.15	8	3	400000	0.26687242798353916	0.78	0.08641975308641975	0.6666666666666666	19	81
initial_plane__N1_500__N2_500__P11_0p73__P12_0p24__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p73__P12_0p24__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.73	0.24	0.73	1.15	8	3	400000	0.06993827160493828	0.205	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p76__P12_0p16__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p76__P12_0p16__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.76	0.16	0.76	1.15	8	3	400000	0.2900411522633745	0.7883333333333333	0.0699588477366255	0.6666666666666666	16	81
initial_plane__N1_500__N2_500__P11_0p76__P12_0p20__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p76__P12_0p20__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.76	0.2	0.76	1.15	8	3	400000	0.3573456790123457	1.0	0.14814814814814814	1.0	29	81
initial_plane__N1_500__N2_500__P11_0p76__P12_0p24__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p76__P12_0p24__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.76	0.24	0.76	1.15	8	3	400000	0.0710082304526749	0.175	0.0	0.0	0	81
initial_plane__N1_500__N2_500__P11_0p80__P12_0p16__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p80__P12_0p16__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.8	0.16	0.8	1.15	8	3	400000	0.2887654320987655	0.9766666666666667	0.09876543209876543	0.6666666666666666	22	81
initial_plane__N1_500__N2_500__P11_0p80__P12_0p20__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p80__P12_0p20__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.8	0.2	0.8	1.15	8	3	400000	0.29475308641975306	0.8566666666666667	0.1111111111111111	0.6666666666666666	23	81
initial_plane__N1_500__N2_500__P11_0p80__P12_0p24__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt	N1_500__N2_500__P11_0p80__P12_0p24__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3__time_diagnostic.png	500	500	0.8	0.24	0.8	1.15	8	3	400000	0.07146090534979424	0.19666666666666668	0.0	0.0	0	81
